S_steps,t_steps,CN,Barrier Lambda,error_cn
50,1194,973.0959732004976,0.9999999999999988,-26.90402679950239
100,1194,974.5357351418681,0.9999999999999963,-25.464264858131855
150,1194,974.980611651677,0.9999999999999988,-25.01938834832299
200,1194,975.1965518900787,0.9999999999999963,-24.803448109921305
250,1194,975.3240344305719,0.9999999999999987,-24.675965569428058
300,1194,975.4081537807953,0.9999999999999915,-24.59184621920474
350,1194,975.4678126539947,1.0000000000000036,-24.532187346005344
400,1194,975.5123232972279,0.9999999999999866,-24.48767670277209
450,1194,975.5468041444243,1.000000000000006,-24.4531958555757
